,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
0,1,1,1,1,1,1,"“연봉 속이는 최악의 회사(신입4천대/대리5천대), 7년째 매년 하락중”",현직원 · 현********* · 구매·물류·SCM 전문가 - 2020.09.18,연봉 높은 회사인줄 알고 사람들이 현차 다니는구나 라고 하는 경우가 많음 다 거짓말임,회사 유보 이익을 정당히 처분하지 않고 최상위 임원 혼자 대놓고 연봉 상승시킴
1,1,1,1,1,1,1,“인재 멸시의 현대자동차”,현직원 · I********* · 연구개발(R&D) - 2020.09.22,"일 안해도 월급 똑같이 줍니다
열심히 해도 고과는 어차피 인맥이랑 짬순이라
놀고 먹어도 전혀 고과에 영향 없습니다
매일 두시간 커피타임 보장이구요
화장실에 한시간 쳐박혀 있어도 됩니다","일 하면 돈은 안주고 일을 더 줍니다
능력있는 사람들은 뼛가루까지 갈아먹고
고과는 윗분들한테 아부하고 광파는 분이 다 먹습니다

그냥 놀면서 다니세요"
2,1,1,1,1,1,1,“진실된 리뷰는 '추천수'로 확인하세요”,현직원 · 이******** · 연구개발(R&D) - 2023.08.11,"잘못된 리뷰가 많아 진실된 정보만 적습니다

1 차 할인
2 팀 분위기에 따라 다르지만 재택근무 가능
3 여름에 아이스크림을 준다","1 책임 진급 전까지 낮은 사원 기본급4000후반5000초반 타 대기업 대비 처참한 수준 참고로 호봉제라 상승률도 극악 그나마 책임 진급해도 가두리 연봉 진행
2 그렇다고 성과금이 잘나오냐 그것도 아님 회사가 잘나가도 구리고 안나가면 기본급마저 동결
3 남양연구소 기준 출퇴근이 지옥 최소 3시간은 쓴다고 보면 됨 날씨가 안좋은 경우는 기대이상
4 커리어 개발은 없음 남아있는 시간이 길어질수록 그렇게 동료가 된다 탈출은 능력순
5 최근 나오는 차량들 상태보면 알거임 에이스 대거 탈출로 인한 차량 상태 수준 그냥 가라앉을 일만 남은 회사 전망이 어두움
6 경영진의 무능함은 쩝 대외이미지 관리에만 힘쓰는 회사
7 노조리스크도 만만치 않음 변질되서 회사에서 가장 큰 문제점 중 하나가 되어버림
8 그 외에도 많기도한데 적기가 힘드네요"
3,2,1,5,4,3,1,"“미래가없는 회사, 꿀빠는게 답이다라고 강요하는 회사”",현직원 · l********* · 연구개발(R&D) - 2020.09.25,"워라밸은 최고라해도 손색없음
회사시스템자체가 꿀빠는게 이익이라 말하는듯한 구조
사바사이긴한데 꼰대문화 많이 없어짐","의사결정 주체가 없는 덩치큰 바보회사
서로 결정을 미루다 문제 커지면 급한사람이 총대메는 희안한 시스템
회사가 직원상대로 언플해서 쓰레기만드는 회사
커리어 향상을 위해서라면 절대오면 안되는 회사
연봉에서 기본급비율이 낮아 매년 성과급 협상에 맘졸이고 전국적으로 욕먹는 회사"
4,1,1,4,1,1,1,“회사가 잘나가도 입사후부터 연봉이 수직하강함”,현직원 · l******** · 연구개발(R&D) - 2020.10.05,"팀만 잘 고르면 워라밸 보장
극단적으로 하루에 한시간정도만 일해도 되는 팀도 있음","첨에 팀을 잘못골라서 밥도 못먹고 일하고 노가다 뛰기 일수였음 그런팀은 일한다고 위에서 이끌어주지도 않음 고생만하고 몸만 망가지고 돌아오는건 아무것도 없음
연봉이 입사후 수직하강중임 당시 돈 제일 많이 줘서 골라들어온건데 지금은 엘지에나 비빌수 있는 수준인가 성과가 나든 안나든 정의선 연봉만 몇십억씩 수직상승하고 직원 연봉은 매년 몇백씩 줄어들고 있음 이제 더이상 줄어들 연봉도 없음 공무원수준임 심지어 입원중인 정몽구 연봉도 몇십억씩 상승중임"
5,1,4,5,1,2,1,“연구원들을 일회용품 쓰듯하는 회사”,현직원 · 사****** · 연구개발(R&D) - 2020.10.01,"워라밸이 좋다
차를 저렴하게 살 수있다
뭐 더있을까","성과와 전혀 관계없는 임금체계
연구원의 노력과 머리를 전혀 인정해줄 마음이 없는 회사
임금구조가 고학력 브레인들을 대접해줄 수가 없는 회사
임원들만을 위한 회사"
6,1,1,4,1,2,1,“갈수록 연봉이 주는 회사”,현직원 · I******* · 생산엔지니어·생산관리 - 2020.10.01," 워라벨 but 부바부
 차량 할인
 휴가 많음"," 대기업 연봉 x 신입 4천 중후반 나아질 기미 x
 정년 앞둔 대다수 책임들 일 안함
 밥 개개개노맛 입찰없이 계열사 현대그린푸드"
7,2,1,3,1,3,1,“커리어의 종착역 ”,현직원 · ¡******* · 연구개발(R&D) - 2020.09.16,"1 워라밸  마음만먹으면 공무원 수준의 노동강도와 최저 근무시간40시간 가능  수금은 무조건 4퇴가능
2 가성비  워라밸의 연장 최소한의 인풋대비 급여수준으로보면 나쁘지 않음
3 갑질  대부분의 실무를 협력업체에 떠넘길수있는 합리적인 체제 완성 면피용으로 결과만 체크하면됨
4 노조  과장전까지 노조원으로서 사소한 불만까지 해소가능하며 스트레스조차 안받을 수 있음
5 연월차  2년차부터 연월차 합산 21개  하계휴가 5일  설 추석 1일씩추가 휴무 노조일 창립일식목일한글날 등 말도안되는 실 근무일수","1 줄어드는 성과급  더 줄어들것도 없을만큼 성과급이 없다고 보면됨
2 최악의 근무지  매일 34시간 도로에서 날림서울기준
3 커리어의 종착역  들어오는순간 마약같은 노동강도와 워라밸을 누리다보면 어느새 협력업체 없이는 아무것도 못하는 바보가 되어있으며 업계특성상 커리어가 쌓이지않고 이직도 불가능함
4 노인정  입으로만일하는 50대 책임들 다수존재 부동산 주식 골프얘기만 하루종일하며 실무는 손도 안댐"
8,1,1,1,1,1,1,“가장 중요한 시기에 삽질하는 회사”,현직원 · 정*** · 연구개발(R&D) - 2023.08.17,생산직 오너한테 양사이드로 성과금 후려침 당하는걸 보면 이직을 위해 끝없는 자기개발 욕구 제공,하도 상식 밖의 성과금 타결 내용 지급 시기로 돈돈돈돈돈돈돈 난리치는 꼴 보면 노이로제 걸림
9,1,1,3,3,1,1,“생산직 vs 노무의 싸움에 사무직들만 천대하는 공기업같은 회사”,현직원 · O***** · 연구개발(R&D) - 2020.09.29,적당한 워라벨 대기업보단 적지만 그래도 공무원 보다 많은 급여,"장점빼고 다
사무직으론 올만한게 못됨
회사 성과가 좋던 안좋던 이상하게 연봉은 근 10년 연속 하락중"
